设备ID,状态,充电量(kWh),电价(元),金额(元),用户,时间
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 17:00:19 2026
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 17:00:57 2026
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 17:39:19 2026
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 17:43:22 2026
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 17:58:23 2026
ev_charge_A01,charging,18.5,1.2,22.2,182****9540,Sat May 30 18:21:02 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 19:33:39 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 19:41:00 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 19:46:09 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 19:46:45 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 19:59:56 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 20:06:36 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 20:17:56 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 20:44:12 2026
ev_charge_A01,finished,18.5,1.2,999,182****9540,Sat May 30 20:45:14 2026
ev_charge_A01,finished,18.5,1.2,999,182****9540,Sat May 30 20:46:22 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Sat May 30 20:50:44 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Mon Jun  1 19:46:22 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Mon Jun  1 19:51:15 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Mon Jun  1 20:40:48 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Mon Jun  1 20:45:31 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Thu Jun  4 11:09:51 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Thu Jun  4 22:13:23 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Thu Jun  4 22:14:24 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Thu Jun  4 22:14:44 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Fri Jun  5 15:50:42 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Fri Jun  5 19:52:15 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Fri Jun  5 21:40:49 2026
ev_charge_A01,finished,18.5,1.2,22.2,182****9540,Fri Jun  5 21:43:09 2026
